id,idx,tweet,category,subcategory,target_num
95572427,1315,09/21/17 - View today&#39;s Market Forecast by Blake Young here: https://www.youtube.com/watch?v=3DQgMj1lQAA $STUDY $MACRO $SPX $RUT $XLF $JPM $XLP $CL,Temporal,date,09
95572427,1315,09/21/17 - View today&#39;s Market Forecast by Blake Young here: https://www.youtube.com/watch?v=3DQgMj1lQAA $STUDY $MACRO $SPX $RUT $XLF $JPM $XLP $CL,Temporal,date,21
95572427,1315,09/21/17 - View today&#39;s Market Forecast by Blake Young here: https://www.youtube.com/watch?v=3DQgMj1lQAA $STUDY $MACRO $SPX $RUT $XLF $JPM $XLP $CL,Temporal,date,17
103954173,4215,$KEM SEMI sector heats up again after $AVGO after Q4 Earnings Beat! Here we go tomorrow!,Temporal,date,4
100223785,3526,$ARLZ I can&#39;t find a new Chardan analyst report with $10 PT for $ARLZ. Is reference to the report an error? Anyone actually seen report?,Monetary,forecast,10
103686653,3940,"$GLD $SLV $GDXJ  1yr+ wide triangles in Gold &amp; $GDX miners testing support,but NOT dead. Friday close can save both",Temporal,date,1
100627777,8696,$TRVN Next catalyst is NDA acceptance by FDA &amp; will happen within the next 8 weeks. Other positive catalyst could occur anytime based on ER.,Temporal,date,8
99993956,4421,$BTC.X who&#39;s the genius now Jamie Dimon? $JPM  been in since 2013 screw stocks and paying taxes!!!!,Temporal,date,2013
101262204,3463,$AIRG Smaller antenna makers reported decent results and 2018 prospects are looking good early. $PCTI is another good play.,Temporal,date,2018
103219005,3230,$AG One of the best values in the PM mining space. Expanding production 2018 and pps crushed by huge short interest. Also like $ASM $MUX,Temporal,date,2018
103477420,6003,$DPW calm before the storm. My pT. For 10am est is 2.29 check back tomorrow,Temporal,time,10
103477420,6003,$DPW calm before the storm. My pT. For 10am est is 2.29 check back tomorrow,Monetary,forecast,2.29
103820750,64,$GBTC That buy yesterday around 4:03pm 700 $GBTC @1650 More Whales coming! we are @1728 pre market!,Temporal,time,4
103820750,64,$GBTC That buy yesterday around 4:03pm 700 $GBTC @1650 More Whales coming! we are @1728 pre market!,Temporal,time,03
103820750,64,$GBTC That buy yesterday around 4:03pm 700 $GBTC @1650 More Whales coming! we are @1728 pre market!,Quantity,Quantity,700
103820750,64,$GBTC That buy yesterday around 4:03pm 700 $GBTC @1650 More Whales coming! we are @1728 pre market!,Monetary,buy price,1650
103820750,64,$GBTC That buy yesterday around 4:03pm 700 $GBTC @1650 More Whales coming! we are @1728 pre market!,Monetary,quote,1728
102112597,4927,$ELF $WMT $TGT Distribution is KEY here. Growth should get faster in early 2018 https://seekingalpha.com/article/4126359-e-l-f-price-starting-look-pretty,Temporal,date,2018
95813750,6305,"$RTNB Dont think the company that has topped the cybersecurity500 list for 6 quarters, will go down so easily.",Quantity,Quantity,500
95813750,6305,"$RTNB Dont think the company that has topped the cybersecurity500 list for 6 quarters, will go down so easily.",Temporal,date,6
103695671,156,"BUY TO OPEN

$REGN $375 Call Dec.8 @5.2

$EFX $115 Call Jan.19  @2.50

#OptionPros JOIN NOW, DONT MISS OUT!",Option,exercise price,375
103695671,156,"BUY TO OPEN

$REGN $375 Call Dec.8 @5.2

$EFX $115 Call Jan.19  @2.50

#OptionPros JOIN NOW, DONT MISS OUT!",Temporal,date,.8
103695671,156,"BUY TO OPEN

$REGN $375 Call Dec.8 @5.2

$EFX $115 Call Jan.19  @2.50

#OptionPros JOIN NOW, DONT MISS OUT!",Monetary,buy price,5.2
103695671,156,"BUY TO OPEN

$REGN $375 Call Dec.8 @5.2

$EFX $115 Call Jan.19  @2.50

#OptionPros JOIN NOW, DONT MISS OUT!",Option,exercise price,115
102035536,2369,$NQ_F $QQQ Overnight trading report bias+1 bearish sent out at 11/19/17 6:45 PM (ET) lower target+5 in focus.,Monetary,change,1
102035536,2369,$NQ_F $QQQ Overnight trading report bias+1 bearish sent out at 11/19/17 6:45 PM (ET) lower target+5 in focus.,Temporal,date,11
102035536,2369,$NQ_F $QQQ Overnight trading report bias+1 bearish sent out at 11/19/17 6:45 PM (ET) lower target+5 in focus.,Temporal,date,19
102035536,2369,$NQ_F $QQQ Overnight trading report bias+1 bearish sent out at 11/19/17 6:45 PM (ET) lower target+5 in focus.,Temporal,date,17
102035536,2369,$NQ_F $QQQ Overnight trading report bias+1 bearish sent out at 11/19/17 6:45 PM (ET) lower target+5 in focus.,Temporal,time,6
102035536,2369,$NQ_F $QQQ Overnight trading report bias+1 bearish sent out at 11/19/17 6:45 PM (ET) lower target+5 in focus.,Temporal,time,45
102035536,2369,$NQ_F $QQQ Overnight trading report bias+1 bearish sent out at 11/19/17 6:45 PM (ET) lower target+5 in focus.,Monetary,change,5
102574932,3975,$SSC My three favorite crypto plays for Monday: $SSC About to burst. $GLNNF otc great co. w/ tremendous chart. $OSTK Continuation pt $70.,Monetary,forecast,70.
100943998,9147,"$DVAX Dollar bill$ my friends... it is Martini Time!! Go unplug, see you at 7am.",Temporal,time,7
100647004,1986,"$INFI $CRIS Curis has a similar pipeline and similar licensing agreements, yet supports a market cap 1.5x was Infi. CUDC-907",Product Number,Product Number,907
104567115,1362,$BZUN vs $SHOP  Chinese shopify has forward P/E 2019 at $1.95 Citi &amp; Bank of America has $38 price target. Buy Bzun and dips on SHOP in 2018,Temporal,date,2019
104567115,1362,$BZUN vs $SHOP  Chinese shopify has forward P/E 2019 at $1.95 Citi &amp; Bank of America has $38 price target. Buy Bzun and dips on SHOP in 2018,Monetary,forecast,38
104567115,1362,$BZUN vs $SHOP  Chinese shopify has forward P/E 2019 at $1.95 Citi &amp; Bank of America has $38 price target. Buy Bzun and dips on SHOP in 2018,Temporal,date,2018
101370577,2200,$HTZ Grasso calls a double for $CAR to $70 and $HTZ to follow hot on their heels doubling to $40!,Monetary,forecast,70
101370577,2200,$HTZ Grasso calls a double for $CAR to $70 and $HTZ to follow hot on their heels doubling to $40!,Monetary,forecast,40
93420824,2454,$JJG $JJG possible HOLD or V from 24.95 near 8/30/2017 - GANN. $JJG possible HOLD or V from 24.95 near 8/30/2017 - GANN,Temporal,date,8
93420824,2454,$JJG $JJG possible HOLD or V from 24.95 near 8/30/2017 - GANN. $JJG possible HOLD or V from 24.95 near 8/30/2017 - GANN,Temporal,date,30
93420824,2454,$JJG $JJG possible HOLD or V from 24.95 near 8/30/2017 - GANN. $JJG possible HOLD or V from 24.95 near 8/30/2017 - GANN,Temporal,date,2017
93420824,2454,$JJG $JJG possible HOLD or V from 24.95 near 8/30/2017 - GANN. $JJG possible HOLD or V from 24.95 near 8/30/2017 - GANN,Temporal,date,8
93420824,2454,$JJG $JJG possible HOLD or V from 24.95 near 8/30/2017 - GANN. $JJG possible HOLD or V from 24.95 near 8/30/2017 - GANN,Temporal,date,30
93420824,2454,$JJG $JJG possible HOLD or V from 24.95 near 8/30/2017 - GANN. $JJG possible HOLD or V from 24.95 near 8/30/2017 - GANN,Temporal,date,2017
100848293,9158,$P bought a few more .. not selling at these levels . Modest PT of 6$ in a month,Monetary,forecast,6
104945970,1263,$ETP $EPD $WPZ Great read: US Oversupply of Oil is Ending- $67+ WTI by Early 2018: https://investoralmanac.com/2017/12/09/the-us-oversupply-of-oil-is-ending-67-wti-by-early-2018/,Temporal,date,2018
99641182,8615,"$ATNM Off to England for 12 days.  Don&#39;t worry though, they do actually have internet in the UK :-)",Temporal,date,12
104622641,2215,"$HMNY $HMNY  MoviePass effective as of December 11, 2017, entered into agreements with Costco Wholesale $COST) and TicketOps Corporation",Temporal,date,11
104622641,2215,"$HMNY $HMNY  MoviePass effective as of December 11, 2017, entered into agreements with Costco Wholesale $COST) and TicketOps Corporation",Temporal,date,2017
105030117,5861,"$EGO Money can flow from US/tech/equities into Metals/Gold/ValuePlays and very Fast we are already seeing signs of this, 2018 will acc 2/2",Temporal,date,2018
94514367,1467,"$DUST $nugt remember 3 weeks ago, gold was falling to 1200? Why? Still same fundamentals!",Temporal,date,3
102303838,2297,"$SIG $BZUN $GES $CRM $DE $GME going to be a big win tomorrow, first PT tomorrow: $19.40 || second PT: $20.00 GL all!",Monetary,forecast,19.40
102303838,2297,"$SIG $BZUN $GES $CRM $DE $GME going to be a big win tomorrow, first PT tomorrow: $19.40 || second PT: $20.00 GL all!",Monetary,forecast,20.00
102291840,7371,"$UGAZ looks like 70% shorted. If favorable report comes out at 10:30am tomorrow, there will be lots of fun. Who knows? Wait for anotherweek?",Percentage,absolute,70
102291840,7371,"$UGAZ looks like 70% shorted. If favorable report comes out at 10:30am tomorrow, there will be lots of fun. Who knows? Wait for anotherweek?",Temporal,time,10
102291840,7371,"$UGAZ looks like 70% shorted. If favorable report comes out at 10:30am tomorrow, there will be lots of fun. Who knows? Wait for anotherweek?",Temporal,time,30
102642442,7179,"$WDC Overreaction. I will add if it falls to $89, my target still $115 by EOY.",Monetary,forecast,115
102393577,588,"$GE 2019 LEAPS are cheap and a good buy.  If Flannery can turn around GE like Satya Nadella did to $MSFT in 1 yr, lots of money can be made",Temporal,date,2019
102393577,588,"$GE 2019 LEAPS are cheap and a good buy.  If Flannery can turn around GE like Satya Nadella did to $MSFT in 1 yr, lots of money can be made",Temporal,date,1
104270759,4412,"$GLUU TSL will bring attention to $GLUU, which will bring more attention to the other successes of this co. during 2017. Good on good.",Temporal,date,2017.
103100264,4872,$DECK Deckers Outdoor ...Nice wedge &amp; consolidation pattern. Has also crushed $XRT over last 2 years. Important!,Temporal,date,2
102988710,3038,$SBLK $SB $GNK $GOGL $DSX $GOGL   lots of shippers just reported.  Need some upgrades on 2018 outlook  from analysts to get things moving.,Temporal,date,2018
90530062,6750,"$SHOP why the f*ck would anyone sell this? Just long it , $200 by 2018",Temporal,date,2018
102519905,822,$SPY $QQQ Since Oct 26th the Fed has completed &gt;1.42 Trillion in reverse repos.. That&#39;s trillion not billion https://apps.newyorkfed.org/markets/autorates/tomo-results-display?SHOWMORE=TRUE&amp;startDate=01/01/2000&amp;enddate=01/01/2000,Temporal,date,26
102519905,822,$SPY $QQQ Since Oct 26th the Fed has completed &gt;1.42 Trillion in reverse repos.. That&#39;s trillion not billion https://apps.newyorkfed.org/markets/autorates/tomo-results-display?SHOWMORE=TRUE&amp;startDate=01/01/2000&amp;enddate=01/01/2000,Monetary,money,1.42
101719178,354,$CHFS  DEAD.   TRY $DCTHD ONLY 1.4M SHARES MARKET CAP 3m was 70m 3 weeks ago.  RS 350-1.  Moving again $1.15. CANCER CURE IN Europe,Monetary,money,3
101719178,354,$CHFS  DEAD.   TRY $DCTHD ONLY 1.4M SHARES MARKET CAP 3m was 70m 3 weeks ago.  RS 350-1.  Moving again $1.15. CANCER CURE IN Europe,Monetary,money,70
101719178,354,$CHFS  DEAD.   TRY $DCTHD ONLY 1.4M SHARES MARKET CAP 3m was 70m 3 weeks ago.  RS 350-1.  Moving again $1.15. CANCER CURE IN Europe,Temporal,date,3
101719178,354,$CHFS  DEAD.   TRY $DCTHD ONLY 1.4M SHARES MARKET CAP 3m was 70m 3 weeks ago.  RS 350-1.  Moving again $1.15. CANCER CURE IN Europe,Product Number,Product Number,350
101719178,354,$CHFS  DEAD.   TRY $DCTHD ONLY 1.4M SHARES MARKET CAP 3m was 70m 3 weeks ago.  RS 350-1.  Moving again $1.15. CANCER CURE IN Europe,Product Number,Product Number,1.
102950094,1710,$ETH.X $500 $LTC.X  $101 Targets Hit for ETH and BTC $19 more until $LTC hits 1st range toy target,Monetary,forecast,500
102950094,1710,$ETH.X $500 $LTC.X  $101 Targets Hit for ETH and BTC $19 more until $LTC hits 1st range toy target,Monetary,forecast,101
95178489,7359,$NEOS Anybody seeing this massive cup &amp; handle pattern on the 3/6 month chart? I know I&#39;m not the only one.,Temporal,date,3
95178489,7359,$NEOS Anybody seeing this massive cup &amp; handle pattern on the 3/6 month chart? I know I&#39;m not the only one.,Temporal,date,6
103202541,2381,"First back to back 3 month loss in $GDX, $GDXJ since middle of 2015, $GLD, time running out to avoid that $NUGT",Temporal,date,3
103202541,2381,"First back to back 3 month loss in $GDX, $GDXJ since middle of 2015, $GLD, time running out to avoid that $NUGT",Temporal,date,2015
90071157,5187,"Strong buy on $GS today, all technical indicators confirmed signal. Price target: $230.64 (breakout toward $248)",Monetary,forecast,230.64
102003217,3575,5 year graph $GE in Blue vs Brent crude in Orange. $BHGE could easily head back up if oil continues it&#39;s climb.,Temporal,date,5
102006081,3677,$SPY $SPX $QQQ $UPRP $SVXY We shared our in-depth time &amp; price projections for next 3 weeks@ http://pattern-based-trading.com/,Temporal,date,3
96066772,7817,$SPWH watch last 30 minutes today. October NICS and Nov ER brings the pain for shorts. Watch for squeeze before Dec  https://whotrades.com/feed/4009970?showMore=250&amp;utm_source=maxsocial&amp;utm_content=feed&amp;frfi_id=WTFeedCstmFbLnkdSt,Temporal,time,30
105258647,397,"if $GDX, $GDXJ makes new lows in next 30 minutes , game over they will trade back down to the wkly lower BB in next 1-3 wks, Advantage bears",Temporal,time,30
105258647,397,"if $GDX, $GDXJ makes new lows in next 30 minutes , game over they will trade back down to the wkly lower BB in next 1-3 wks, Advantage bears",Temporal,date,1
105258647,397,"if $GDX, $GDXJ makes new lows in next 30 minutes , game over they will trade back down to the wkly lower BB in next 1-3 wks, Advantage bears",Temporal,date,3
100845533,7019,$INPX since october 20th when we hit .52 we been going down ever since wtf,Temporal,date,20
100845533,7019,$INPX since october 20th when we hit .52 we been going down ever since wtf,Monetary,quote,.52
101344982,7402,$JNUG looks like January 2016 all over again. Everyone is becoming super bearish and this goes up 1500% into the summer,Temporal,date,2016
101344982,7402,$JNUG looks like January 2016 all over again. Everyone is becoming super bearish and this goes up 1500% into the summer,Percentage,relative,1500
98699918,1150,"$ARNA $CELG only a N=50 P1 study arna still recruiting for small apd334 UC P2, N=20 for 371 for mild stomach pain multiple exclusions LOL",Quantity,Quantity,50
98699918,1150,"$ARNA $CELG only a N=50 P1 study arna still recruiting for small apd334 UC P2, N=20 for 371 for mild stomach pain multiple exclusions LOL",Product Number,Product Number,334
98699918,1150,"$ARNA $CELG only a N=50 P1 study arna still recruiting for small apd334 UC P2, N=20 for 371 for mild stomach pain multiple exclusions LOL",Quantity,Quantity,20
100958050,5648,"$LODE buying another $3k worth at 930 am, then i am riding this to a $1.15",Temporal,time,930
103195613,1060,"$GDX wkly lower BB @ 21.61 and for $GDXJ it is at 30.75 within 2-3 % from current level and 1-3 more weeks, opposite of End of Aug/early sep",Monetary,quote,21.61
103195613,1060,"$GDX wkly lower BB @ 21.61 and for $GDXJ it is at 30.75 within 2-3 % from current level and 1-3 more weeks, opposite of End of Aug/early sep",Monetary,quote,30.75
103195613,1060,"$GDX wkly lower BB @ 21.61 and for $GDXJ it is at 30.75 within 2-3 % from current level and 1-3 more weeks, opposite of End of Aug/early sep",Percentage,relative,2
103195613,1060,"$GDX wkly lower BB @ 21.61 and for $GDXJ it is at 30.75 within 2-3 % from current level and 1-3 more weeks, opposite of End of Aug/early sep",Percentage,relative,3
103195613,1060,"$GDX wkly lower BB @ 21.61 and for $GDXJ it is at 30.75 within 2-3 % from current level and 1-3 more weeks, opposite of End of Aug/early sep",Temporal,date,1
103195613,1060,"$GDX wkly lower BB @ 21.61 and for $GDXJ it is at 30.75 within 2-3 % from current level and 1-3 more weeks, opposite of End of Aug/early sep",Temporal,date,3
98366312,1066,"Strong buy on $AGN, $CVS, and $DIS today, all my indicators confirmed signal.

$AGN -PT: $200
$CVS -PT: $80
$DIS -PT: $102.75 ($106 2nd PT)",Monetary,forecast,200
98366312,1066,"Strong buy on $AGN, $CVS, and $DIS today, all my indicators confirmed signal.

$AGN -PT: $200
$CVS -PT: $80
$DIS -PT: $102.75 ($106 2nd PT)",Monetary,forecast,80
98366312,1066,"Strong buy on $AGN, $CVS, and $DIS today, all my indicators confirmed signal.

$AGN -PT: $200
$CVS -PT: $80
$DIS -PT: $102.75 ($106 2nd PT)",Monetary,forecast,102.75
98366312,1066,"Strong buy on $AGN, $CVS, and $DIS today, all my indicators confirmed signal.

$AGN -PT: $200
$CVS -PT: $80
$DIS -PT: $102.75 ($106 2nd PT)",Monetary,forecast,106
104018294,9166,$DPW hmm movement just like the last 3 Days so we go higher ....JMO,Temporal,date,3
102821137,2473,$CORI CEO Staple indicates they expect to sign a partnering deal with a BP by the end of the year. $AGRX also has a 12/27 PDUFA date.,Temporal,date,12
102821137,2473,$CORI CEO Staple indicates they expect to sign a partnering deal with a BP by the end of the year. $AGRX also has a 12/27 PDUFA date.,Temporal,date,27
102305528,9616,$KOPN I did some asking around. It takes 5 years to get qualified to start production in military accounts.  We&#39;ll see a great qtr not good,Temporal,date,5
104142713,5180,"$PCG Absolutely Kicked our ass March Calls Halved &amp; June&#39;s Looming. Still believe 17months To get Up, To lose that in 3days...just Nope.",Temporal,date,17
104142713,5180,"$PCG Absolutely Kicked our ass March Calls Halved &amp; June&#39;s Looming. Still believe 17months To get Up, To lose that in 3days...just Nope.",Temporal,date,3
100543900,2328,"$ENDP $MNK I think Paulson is getting out of pharma, only explanation... two absurdly cheap stocks ... MNK approaching 5x 2018 EV/EBITDA",Temporal,date,2018
102036035,5027,$WPRT Elon designs and builds the electric truck in 3 years but these fuckers have taken 10 years to get an NG injector to work. Chambered.,Temporal,date,3
102036035,5027,$WPRT Elon designs and builds the electric truck in 3 years but these fuckers have taken 10 years to get an NG injector to work. Chambered.,Temporal,date,10
101676268,4054,Nov 16th Watchlist: Swing entries for $AEMD $GSV possibly $JNUG. Also watching $ALQA $ROSG $WPRT $ANTH. Option $UAA $DPZ $UCTT #TradeSmart,Temporal,date,16
63542418,1480,"$SCTY solar stocks on the move $RSGE $ASTI up 81% in 2 days. 

Clay trader video chart: https://claytrader.com/stock_chart/ASTI/?utm_source=social&amp;utm_medium=ihub&amp;utm_campaign=chart",Percentage,relative,81
63542418,1480,"$SCTY solar stocks on the move $RSGE $ASTI up 81% in 2 days. 

Clay trader video chart: https://claytrader.com/stock_chart/ASTI/?utm_source=social&amp;utm_medium=ihub&amp;utm_campaign=chart",Temporal,date,2
103231136,7433,"$AMD A lot banger news - best quarter in 6 years, intel deal ,3x sales... I could go on. Nothin is bringin this up. Said to see this happen.",Temporal,date,6
102523396,6720,$CRIS hold till next quarter at the least very good swing catalyst in Q1. Enough money till 2019 not worried of offering,Temporal,date,1.
102523396,6720,$CRIS hold till next quarter at the least very good swing catalyst in Q1. Enough money till 2019 not worried of offering,Temporal,date,2019
103663299,5869,$RVNC Headed to $75 then $100...This product last 2 months longer than Allergan&#39;s botox injections.  STRONG BUY!!!,Temporal,date,2
99310676,5226,"$AMZN 10 million in volume by 12:16pm.. holy smokes, the power behind this is insane.",Temporal,time,12
99310676,5226,"$AMZN 10 million in volume by 12:16pm.. holy smokes, the power behind this is insane.",Temporal,time,16
101784675,1357,$admp  Partnership with $WMT prescriptions. 2easy 2 predict.  Cheap valuation at this level. 100% within 1 year.,Temporal,date,1
104895568,9034,$ETP run baby run!! Holding long! 2018 will be a big year get in now!!!,Temporal,date,2018
98990984,5301,$EPD Bought for long term 20+ year dividend reinvestment.  Also bought for my 1 year old son!,Temporal,date,20
98990984,5301,$EPD Bought for long term 20+ year dividend reinvestment.  Also bought for my 1 year old son!,Temporal,date,1
105338346,6541,"$BTC.X Bitcoin looks like its inevitably going to break $20,000. Looking forward to more blockchain trades. Next 2 weeks will be fun. #BLKCF",Monetary,support or resistance,"20,000."
105338346,6541,"$BTC.X Bitcoin looks like its inevitably going to break $20,000. Looking forward to more blockchain trades. Next 2 weeks will be fun. #BLKCF",Temporal,date,2
97837579,6135,$TXMD will we get any news on the 2nd? Will they wait the full 30 days to release news? Lets get some real discussion going.,Temporal,date,30
101986587,9183,$GPRO if GoPro is not acquired by New Years Day 2018 I will be absolutely floored. This company has more technology potential than Apple,Temporal,date,2018
101850151,6963,"Other new world auto-co. record: $325.24 to $0.00 in 1.9 seconds, once the incompetent mass production &amp; $10B debt+ catches up to $TSLA",Monetary,quote,325.24
101850151,6963,"Other new world auto-co. record: $325.24 to $0.00 in 1.9 seconds, once the incompetent mass production &amp; $10B debt+ catches up to $TSLA",Monetary,quote,0.00
101850151,6963,"Other new world auto-co. record: $325.24 to $0.00 in 1.9 seconds, once the incompetent mass production &amp; $10B debt+ catches up to $TSLA",Temporal,time,1.9
101850151,6963,"Other new world auto-co. record: $325.24 to $0.00 in 1.9 seconds, once the incompetent mass production &amp; $10B debt+ catches up to $TSLA",Monetary,money,10
103308051,6448,$AMPE trial results stage 3 will be finished Dec 11th announcement sometime after. FDA next with pos. Results.,Temporal,date,11
92027647,773,$SN $OAS $PDCE Great read on Baron Energy and Resources&#39; 2Q17 Letter- Long Thesis for Energy Stocks - https://investoralmanac.com/2017/07/31/baron-energy-and-resources-2q17-contradictions-plaguing-the-industry-peak-demand-really/,Temporal,date,2
92027647,773,$SN $OAS $PDCE Great read on Baron Energy and Resources&#39; 2Q17 Letter- Long Thesis for Energy Stocks - https://investoralmanac.com/2017/07/31/baron-energy-and-resources-2q17-contradictions-plaguing-the-industry-peak-demand-really/,Temporal,date,17
101297268,1553,What can bring down $SPY ? Nothing until maybe 2020. I am raising my target for $SPY from $350 to $380 short terms. Then we have correction.,Temporal,date,2020.
101297268,1553,What can bring down $SPY ? Nothing until maybe 2020. I am raising my target for $SPY from $350 to $380 short terms. Then we have correction.,Monetary,forecast,350
101297268,1553,What can bring down $SPY ? Nothing until maybe 2020. I am raising my target for $SPY from $350 to $380 short terms. Then we have correction.,Monetary,forecast,380
101147002,1361,"$EWZ $BRZU Both these crash for another 30 day, Not votiing on pension till Dec 15th BRZU $24 EWZ $33 http://markets.businessinsider.com/news/interestrates/BRAZIL-Lawmaker-In-Charge-Of-Pension-Reform-Bill-Expects-House-Vote-By-December-1007442369",Temporal,date,30
101147002,1361,"$EWZ $BRZU Both these crash for another 30 day, Not votiing on pension till Dec 15th BRZU $24 EWZ $33 http://markets.businessinsider.com/news/interestrates/BRAZIL-Lawmaker-In-Charge-Of-Pension-Reform-Bill-Expects-House-Vote-By-December-1007442369",Temporal,date,15
36452008,215,$NUGT trending $NUGT will be at $12 x 1 p.m. and $GDX will be back at least to $19.84,Temporal,time,1
104942299,4481,$GDX vs $SPY filled an interesting gap on daily from 2016 and reversed hard. $GLD $GC_F,Temporal,date,2016
100238696,6799,I am bearish on $RACE with a target price of $76.33 in 6 mos. on Vetr!,Monetary,forecast,76.33
100238696,6799,I am bearish on $RACE with a target price of $76.33 in 6 mos. on Vetr!,Temporal,date,6
102760474,5661,$TSLA If short. Musk is going to ruin ur day soon with a model 3 update which will see a 10% up day. Tick tock,Product Number,Product Number,3
102760474,5661,$TSLA If short. Musk is going to ruin ur day soon with a model 3 update which will see a 10% up day. Tick tock,Percentage,relative,10
101943885,7396,$RAD at Vegas atm. Turned my 400 to 1500 on blackjack in 10 mins. YET I know RAD will give a bigger return when all is said and done,Monetary,money,400
101943885,7396,$RAD at Vegas atm. Turned my 400 to 1500 on blackjack in 10 mins. YET I know RAD will give a bigger return when all is said and done,Monetary,money,1500
101943885,7396,$RAD at Vegas atm. Turned my 400 to 1500 on blackjack in 10 mins. YET I know RAD will give a bigger return when all is said and done,Temporal,time,10
101903224,6772,"$IPGP Friday Nov 10 bought 1500 shares at $222- never went red - ATH of $238 just now - $24,000 real money in one week- 947 watchers only!?!",Temporal,date,10
101903224,6772,"$IPGP Friday Nov 10 bought 1500 shares at $222- never went red - ATH of $238 just now - $24,000 real money in one week- 947 watchers only!?!",Quantity,Quantity,1500
101903224,6772,"$IPGP Friday Nov 10 bought 1500 shares at $222- never went red - ATH of $238 just now - $24,000 real money in one week- 947 watchers only!?!",Monetary,quote,238
101903224,6772,"$IPGP Friday Nov 10 bought 1500 shares at $222- never went red - ATH of $238 just now - $24,000 real money in one week- 947 watchers only!?!",Monetary,money,"24,000"
101903224,6772,"$IPGP Friday Nov 10 bought 1500 shares at $222- never went red - ATH of $238 just now - $24,000 real money in one week- 947 watchers only!?!",Quantity,Quantity,947
105223175,6733,"$SPY Sold my calls at 266.68, 10 seconds later Rubio comes out and supports the bill. Sometimes that happens, can&#39;t chase, gains are gains.",Temporal,time,10
101751473,2380,"$MRTX $DJIA $SPX $SPY $QQQ $COMPQ - Bulls trampled the bears today, Dow up 200+, Nasdaq +1.4% and S&amp;P +0.90%",Monetary,change,200
101751473,2380,"$MRTX $DJIA $SPX $SPY $QQQ $COMPQ - Bulls trampled the bears today, Dow up 200+, Nasdaq +1.4% and S&amp;P +0.90%",Percentage,relative,1.4
101751473,2380,"$MRTX $DJIA $SPX $SPY $QQQ $COMPQ - Bulls trampled the bears today, Dow up 200+, Nasdaq +1.4% and S&amp;P +0.90%",Percentage,relative,0.90
102337269,6929,"$AAPL has another $3 or $4 burst up in next 1 or 2 days, ATH is a magnet upper 170s",Monetary,change,3
102337269,6929,"$AAPL has another $3 or $4 burst up in next 1 or 2 days, ATH is a magnet upper 170s",Monetary,change,4
